time,SplyExpFut10yr
2010-01-17,17509387.5
2010-01-18,17510950.0
2010-01-19,17512500.0
2010-01-20,17514475.0
2010-01-21,17516662.5
2010-01-22,17518325.0
2010-01-23,17520325.0
2010-01-24,17522250.0
2010-01-25,17524887.5
2010-01-26,17527325.0
2010-01-27,17529375.0
2010-01-28,17531587.5
2010-01-29,17534050.0
2010-01-30,17536675.0
2010-01-31,17538737.5
2010-02-01,17541037.5
2010-02-02,17542850.0
2010-02-03,17546225.0
2010-02-04,17549087.5
2010-02-05,17551875.0
2010-02-06,17554275.0
2010-02-07,17556987.5
2010-02-08,17559487.5
2010-02-09,17562075.0
2010-02-10,17564175.0
2010-02-11,17566287.5
2010-02-12,17568575.0
2010-02-13,17571475.0
2010-02-14,17574075.0
2010-02-15,17576275.0
2010-02-16,17578712.5
2010-02-17,17581700.0
2010-02-18,17584300.0
2010-02-19,17586700.0
2010-02-20,17589300.0
2010-02-21,17592087.5
2010-02-22,17595337.5
2010-02-23,17598462.5
2010-02-24,17600600.0
2010-02-25,17602525.0
2010-02-26,17604675.0
2010-02-27,17606825.0
2010-02-28,17608775.0
2010-03-01,17611212.5
2010-03-02,17613562.5
2010-03-03,17615462.5
2010-03-04,17617775.0
2010-03-05,17619912.5
2010-03-06,17622125.0
2010-03-07,17624362.5
2010-03-08,17625925.0
2010-03-09,17627750.0
2010-03-10,17629775.0
2010-03-11,17631437.5
2010-03-12,17632950.0
2010-03-13,17634862.5
2010-03-14,17636425.0
2010-03-15,17638112.5
2010-03-16,17639687.5
2010-03-17,17641387.5
2010-03-18,17643137.5
2010-03-19,17645050.0
2010-03-20,17647450.0
2010-03-21,17649737.5
2010-03-22,17651975.0
2010-03-23,17654562.5
2010-03-24,17656700.0
2010-03-25,17659037.5
2010-03-26,17661500.0
2010-03-27,17663725.0
2010-03-28,17666050.0
2010-03-29,17668487.5
2010-03-30,17671175.0
2010-03-31,17673787.5
2010-04-01,17675887.5
2010-04-02,17677837.5
2010-04-03,17679850.0
2010-04-04,17681987.5
2010-04-05,17683900.0
2010-04-06,17685887.5
2010-04-07,17688300.0
2010-04-08,17690587.5
2010-04-09,17692950.0
2010-04-10,17696200.0
2010-04-11,17698987.5
2010-04-12,17701525.0
2010-04-13,17703887.5
2010-04-14,17706137.5
2010-04-15,17708837.5
2010-04-16,17711362.5
2010-04-17,17714125.0
2010-04-18,17717187.5
2010-04-19,17720087.5
2010-04-20,17722650.0
2010-04-21,17725387.5
2010-04-22,17727375.0
2010-04-23,17729250.0
2010-04-24,17731350.0
2010-04-25,17733325.0
2010-04-26,17735375.0
2010-04-27,17737625.0
2010-04-28,17739875.0
2010-04-29,17741712.5
2010-04-30,17743512.5
2010-05-01,17745800.0
2010-05-02,17747737.5
2010-05-03,17749725.0
2010-05-04,17751425.0
2010-05-05,17753137.5
2010-05-06,17755000.0
2010-05-07,17756650.0
2010-05-08,17758575.0
2010-05-09,17760362.5
2010-05-10,17761962.5
2010-05-11,17763350.0
2010-05-12,17764937.5
2010-05-13,17766537.5
2010-05-14,17768075.0
2010-05-15,17769212.5
2010-05-16,17770625.0
2010-05-17,17772412.5
2010-05-18,17774512.5
2010-05-19,17776562.5
2010-05-20,17779100.0
2010-05-21,17781300.0
2010-05-22,17783737.5
2010-05-23,17786375.0
2010-05-24,17788725.0
2010-05-25,17791350.0
2010-05-26,17794137.5
2010-05-27,17796537.5
2010-05-28,17799325.0
2010-05-29,17801625.0
2010-05-30,17803487.5
2010-05-31,17805262.5
2010-06-01,17806950.0
2010-06-02,17808787.5
2010-06-03,17810687.5
2010-06-04,17812250.0
2010-06-05,17814062.5
2010-06-06,17815912.5
2010-06-07,17817875.0
2010-06-08,17819875.0
2010-06-09,17821975.0
2010-06-10,17823975.0
2010-06-11,17826075.0
2010-06-12,17827762.5
2010-06-13,17829912.5
2010-06-14,17831925.0
2010-06-15,17834225.0
2010-06-16,17836000.0
2010-06-17,17837825.0
2010-06-18,17839700.0
2010-06-19,17841575.0
2010-06-20,17843887.5
2010-06-21,17845812.5
2010-06-22,17847762.5
2010-06-23,17850100.0
2010-06-24,17852212.5
2010-06-25,17854087.5
2010-06-26,17856075.0
2010-06-27,17858300.0
2010-06-28,17860200.0
