time,FeeMeanNtv
2015-12-15,0.00017791312871586742
2015-12-16,0.00017070549712330059
2015-12-17,0.0001732324875792118
2015-12-18,0.0001759237878676437
2015-12-19,0.00016566269567056495
2015-12-20,0.00017382099772422958
2015-12-21,0.00017836109657059062
2015-12-22,0.00017732287281566755
2015-12-23,0.00017886415444001401
2015-12-24,0.00017227840518372703
2015-12-25,0.00016476632508569719
2015-12-26,0.0001750447369536956
2015-12-27,0.0001688857742670969
2015-12-28,0.00018005587523389354
2015-12-29,0.0001702067039854267
2015-12-30,0.00017483649053285456
2015-12-31,0.00016363348959895664
2016-01-01,0.00015971369140138395
2016-01-02,0.00021124496287128712
2016-01-03,0.00016874599114659826
2016-01-04,0.0001701383884732551
2016-01-05,0.00017701968109376618
2016-01-06,0.00017940713657105606
2016-01-07,0.00019251171953089429
2016-01-08,0.0001792089025795783
2016-01-09,0.00016775146066568255
2016-01-10,0.0001745774473419296
2016-01-11,0.00018781138786936236
2016-01-12,0.00017836561775793703
2016-01-13,0.00018193742031515455
2016-01-14,0.00017455435334942833
2016-01-15,0.00019825645173717152
2016-01-16,0.0001772602796519167
2016-01-17,0.0001794247614363261
2016-01-18,0.0001883530278917562
2016-01-19,0.00020907574145781032
2016-01-20,0.00022449588137646802
2016-01-21,0.00022572682345793792
2016-01-22,0.00021126786923247764
2016-01-23,0.00020171848678227853
2016-01-24,0.00020047010123101612
2016-01-25,0.00020678918592104443
2016-01-26,0.0002039590788858343
2016-01-27,0.00021696294689178217
2016-01-28,0.0002077046780038904
2016-01-29,0.000210059153487079
2016-01-30,0.00020005621000891824
2016-01-31,0.00019672553353504223
2016-02-01,0.00025633983514105534
2016-02-02,0.0002378107642090061
2016-02-03,0.00023518616159136867
2016-02-04,0.00019002503314011912
2016-02-05,0.00019099964052008713
2016-02-06,0.00017905537825090132
2016-02-07,0.0001840213146382821
2016-02-08,0.0001876395389965443
2016-02-09,0.0001812614865833609
2016-02-10,0.0001913304030048685
2016-02-11,0.0001999255340192199
2016-02-12,0.00019357861012459822
2016-02-13,0.00018937343252153107
2016-02-14,0.00018832757402096207
2016-02-15,0.00019191388638331241
