time,FeeMeanUSD
2017-12-21,53.20478982514367
2017-12-22,56.30812369673005
2017-12-23,51.21061152222143
2017-12-24,44.12426400850491
2017-12-25,42.59315123064983
2017-12-26,45.89908754617228
2017-12-27,39.31083470341277
2017-12-28,36.539996253438055
2017-12-29,32.40420408356426
2017-12-30,29.29819138509661
2017-12-31,25.835213418629888
2018-01-01,26.59357104473367
2018-01-02,27.9008317349817
2018-01-03,28.361880427206323
2018-01-04,27.56812753660931
2018-01-05,35.26792802793112
2018-01-06,32.82850591476341
2018-01-07,30.317596491165702
2018-01-08,30.07603453891168
2018-01-09,30.10333079133775
2018-01-10,30.334313767299733
2018-01-11,27.349627213754285
2018-01-12,28.24126674114408
2018-01-13,28.364661148946965
2018-01-14,28.511924220337537
2018-01-15,25.41267155782964
2018-01-16,22.92362758190133
2018-01-17,23.948341125906694
2018-01-18,23.760230689067107
2018-01-19,23.094238771079485
2018-01-20,22.787267874093867
2018-01-21,18.08114791045024
2018-01-22,13.52531224190199
2018-01-23,11.81757250036392
2018-01-24,12.385626104559549
2018-01-25,10.478271176010814
2018-01-26,10.299653107022138
2018-01-27,9.876608757616552
2018-01-28,8.368871087312645
2018-01-29,6.990983089171338
2018-01-30,6.763400989940965
2018-01-31,8.026275150282697
2018-02-01,7.64186990678873
2018-02-02,10.093078892781168
2018-02-03,6.816681276334918
2018-02-04,5.331639805624252
2018-02-05,5.481761986427876
2018-02-06,5.148790307032725
2018-02-07,4.421333438772303
2018-02-08,4.159082110498878
2018-02-09,4.444279084037846
2018-02-10,4.014475894923113
2018-02-11,3.4115680759762985
2018-02-12,3.3295473459925238
2018-02-13,3.200113105398064
2018-02-14,3.0370292931083407
2018-02-15,3.2760062396565255
2018-02-16,3.1796128740530194
2018-02-17,3.0838608544556685
2018-02-18,2.9243132161968024
2018-02-19,3.0249532289741716
2018-02-20,2.941094042677215
2018-02-21,2.052804816643806
2018-02-22,1.9996175935723401
2018-02-23,4.390287295791362
2018-02-24,5.829623675135559
2018-02-25,2.7447401699642002
2018-02-26,2.519270457242434
2018-02-27,2.469950874143951
2018-02-28,2.850952683642343
2018-03-01,2.3901919300235845
2018-03-02,2.3630882554814527
2018-03-03,2.4627413089020362
2018-03-04,2.389821421360884
2018-03-05,2.556155293049601
2018-03-06,1.9072098137193496
2018-03-07,1.607780864523106
2018-03-08,1.7005096509317308
2018-03-09,1.6273439354531363
2018-03-10,2.6337157066798826
2018-03-11,2.1320390771041717
2018-03-12,1.6168051125586165
2018-03-13,2.8405923841578717
2018-03-14,1.566682999417769
2018-03-15,1.4843971773343976
2018-03-16,1.3226559854793771
2018-03-17,1.105115695054459
2018-03-18,1.2565102819032254
2018-03-19,1.3686145662987712
2018-03-20,1.4482109537321652
2018-03-21,1.397186376317787
2018-03-22,1.30467660344883
2018-03-23,1.2856897760595662
2018-03-24,1.1932121274925098
2018-03-25,1.2724320493978556
2018-03-26,1.1775322706476956
2018-03-27,1.1399544873369165
2018-03-28,1.0832262630165037
2018-03-29,1.0000382027741301
2018-03-30,0.9532642453107851
2018-03-31,0.9346263327663151
2018-04-01,0.9184757749058702
2018-04-02,0.8943764241675917
2018-04-03,0.9373312681372381
2018-04-04,0.9081232639720014
2018-04-05,0.913931418548066
2018-04-06,1.3339485989489308
2018-04-07,1.207724154626941
2018-04-08,1.0601299997753286
2018-04-09,0.8576504974807053
2018-04-10,0.8418507886662568
2018-04-11,0.8638657460874241
2018-04-12,1.3384435853754681
2018-04-13,1.3227932248481034
2018-04-14,1.1781887593955007
2018-04-15,1.1685821119224769
2018-04-16,1.049673703107705
2018-04-17,1.0240183722281326
2018-04-18,1.028068868912796
2018-04-19,1.0755560637186037
2018-04-20,1.2369395828575496
2018-04-21,1.2969814630605552
2018-04-22,1.1148008460505976
2018-04-23,1.135937616657578
2018-04-24,2.5396180370113286
2018-04-25,3.8195399856400893
2018-04-26,2.8799849551766763
2018-04-27,2.310678264472681
2018-04-28,1.9056873602273445
2018-04-29,1.8123922219498783
2018-04-30,1.5696130374488435
2018-05-01,1.4528229532675123
2018-05-02,1.6782862268262102
2018-05-03,1.6839230226074142
2018-05-04,1.753787855009921
2018-05-05,1.561189512751952
2018-05-06,1.7137892849124372
2018-05-07,1.637781355388795
2018-05-08,1.4704073768904802
2018-05-09,1.349930589348114
2018-05-10,1.1535794706127485
2018-05-11,1.5512945047122584
2018-05-12,1.31496361395569
2018-05-13,1.2799445587257208
2018-05-14,1.4563171539994861
2018-05-15,1.5074348715791386
2018-05-16,1.284432712217066
2018-05-17,2.4777097610119427
2018-05-18,2.5442949273179907
2018-05-19,1.4734750058374635
2018-05-20,1.323166083292659
2018-05-21,1.3003373325499321
2018-05-22,1.0479395972300296
2018-05-23,1.039252363126805
2018-05-24,1.0947581376191573
2018-05-25,1.145669212571867
2018-05-26,1.0475658660524274
2018-05-27,0.9837986418109923
2018-05-28,1.16458835892966
2018-05-29,0.9660634592393889
2018-05-30,0.8145079705742981
2018-05-31,0.7907023268767325
2018-06-01,0.73416671774253
2018-06-02,0.7093253186074345
2018-06-03,0.7250593650093572
2018-06-04,0.741557897413819
2018-06-05,0.6599396763379123
2018-06-06,0.7223581420023506
2018-06-07,0.7624359440286608
2018-06-08,0.6846999529643666
2018-06-09,0.81936185147908
2018-06-10,0.6294733434774598
2018-06-11,0.8059733871243111
2018-06-12,0.6537486973875289
2018-06-13,1.125472445253476
2018-06-14,0.8848956667568083
2018-06-15,0.7089186885405355
2018-06-16,0.6867776658625068
2018-06-17,1.0280064698027989
2018-06-18,0.5976792554603273
2018-06-19,3.247994211489494
2018-06-20,6.6455406813289715
2018-06-21,2.4771363631377854
2018-06-22,2.0247864727429254
2018-06-23,1.1981098250509248
2018-06-24,1.0471141278205163
2018-06-25,1.0811320807578577
2018-06-26,1.0154595934198039
2018-06-27,1.045050407353683
2018-06-28,0.8428383130326118
2018-06-29,0.8617839002673406
2018-06-30,0.8285630122191786
2018-07-01,0.688984023424436
2018-07-02,0.7715675378412228
2018-07-03,0.8297460343579369
2018-07-04,0.6909921564901162
2018-07-05,0.6497453300858853
2018-07-06,0.708560433216637
2018-07-07,0.6747231609792442
2018-07-08,0.6662233672435167
2018-07-09,0.6365853403626178
2018-07-10,0.6681653089854792
2018-07-11,0.644998946277196
2018-07-12,0.5616309716450493
2018-07-13,0.5871285845800394
2018-07-14,0.5289618710301514
2018-07-15,0.6063129628454759
2018-07-16,0.753014745919986
2018-07-17,0.7937988501880788
2018-07-18,0.9859172941955402
2018-07-19,0.9551218969929599
2018-07-20,0.7512705605601497
2018-07-21,0.6942009393809583
2018-07-22,0.6517708268508869
2018-07-23,0.8835178274095281
2018-07-24,0.9622838974611663
2018-07-25,0.8754028558708347
2018-07-26,0.8189232917754771
2018-07-27,0.736639799433157
2018-07-28,0.7326495578280435
2018-07-29,0.767310029273722
2018-07-30,0.8668406044379846
2018-07-31,0.8135723618822817
2018-08-01,0.6722055990718971
2018-08-02,0.8523615370210974
2018-08-03,0.7437522897665683
2018-08-04,0.6273619053277061
2018-08-05,0.5575442671506998
2018-08-06,0.5627070177392057
2018-08-07,0.5396162380451754
2018-08-08,0.5529128056487526
2018-08-09,0.6107809966084112
2018-08-10,0.5582219841059503
2018-08-11,0.5000210620928776
2018-08-12,0.48642686809226215
2018-08-13,0.5669455590395254
2018-08-14,0.6588610406968889
2018-08-15,0.5671436067683066
2018-08-16,0.6615725709288167
2018-08-17,0.6824307188037755
2018-08-18,0.5553948302419499
2018-08-19,0.6666076969766742
2018-08-20,0.8427251690240922
2018-08-21,0.7399218917884994
2018-08-22,0.6697449499218661
2018-08-23,0.5794235176782847
2018-08-24,0.5815420961048761
2018-08-25,0.728696640537964
2018-08-26,1.0839061377375556
2018-08-27,0.9949413966573426
2018-08-28,1.3575443247689825
2018-08-29,0.7013072194157868
2018-08-30,0.7154790914046677
2018-08-31,0.7501149181366646
2018-09-01,0.6411042240051799
2018-09-02,0.644422956807554
2018-09-03,0.6452024430588648
2018-09-04,0.7656607033699542
2018-09-05,0.8871215972710763
2018-09-06,0.8005668089157362
2018-09-07,0.7758646557226945
2018-09-08,0.5747500893804606
2018-09-09,0.6019974655848119
2018-09-10,0.5676670118399956
2018-09-11,0.6127662896019761
2018-09-12,0.646174045914753
2018-09-13,0.5615562371142186
2018-09-14,0.6125523866177826
2018-09-15,0.4883190019665384
2018-09-16,0.47931737333293245
2018-09-17,0.4519431770315936
2018-09-18,0.49349626710780137
2018-09-19,0.43552403058769523
2018-09-20,0.4681730696223419
2018-09-21,0.635493491618917
2018-09-22,0.5570075658899362
2018-09-23,0.4782366186671318
2018-09-24,0.43042900055825406
2018-09-25,0.5275443178844414
2018-09-26,0.5244989645946225
2018-09-27,0.6422455437659467
2018-09-28,0.7522450856731299
