time,FlowOutExNtv
2013-06-23,10716.85629327
2013-06-24,20170.44863475
2013-06-25,14842.2049036
2013-06-26,9725.76938667
2013-06-27,10957.28596537
2013-06-28,18489.46326184
2013-06-29,8142.96728922
2013-06-30,14752.98993873
2013-07-01,29270.51121448
2013-07-02,16211.86983096
2013-07-03,23686.09325088
2013-07-04,19203.02045691
2013-07-05,18390.0509641
2013-07-06,26809.2729
2013-07-07,6329.60893399
2013-07-08,15798.32059144
2013-07-09,19482.96333171
2013-07-10,22868.7333147
2013-07-11,16128.21063656
2013-07-12,26300.70309752
2013-07-13,12452.92872701
2013-07-14,11099.65437936
2013-07-15,16762.57605457
2013-07-16,13724.20464922
2013-07-17,11773.03871445
2013-07-18,21186.56385259
2013-07-19,11215.9830646
2013-07-20,8261.37399027
2013-07-21,8437.31549016
2013-07-22,15174.06453984
2013-07-23,13509.79279426
2013-07-24,15260.39050898
2013-07-25,11904.70324675
2013-07-26,13421.52676205
2013-07-27,8234.93659775
2013-07-28,10660.74744474
2013-07-29,19345.69261629
2013-07-30,16061.95856709
2013-07-31,17535.05527779
2013-08-01,11458.47542676
2013-08-02,20204.96122171
2013-08-03,14776.37927639
2013-08-04,4884.22501713
2013-08-05,14032.22794226
2013-08-06,12553.15519162
2013-08-07,14632.33280867
2013-08-08,14472.50097269
2013-08-09,16344.02359817
2013-08-10,15455.67428646
2013-08-11,7022.30997397
2013-08-12,9826.40188903
2013-08-13,16967.64004616
2013-08-14,15904.94080349
2013-08-15,10576.85598151
2013-08-16,17056.85081749
2013-08-17,11934.87702992
2013-08-18,10562.63419807
2013-08-19,25477.75263803
2013-08-20,17294.28844525
2013-08-21,27822.88309601
2013-08-22,14510.19723849
2013-08-23,21352.25650215
2013-08-24,5717.67218947
2013-08-25,8160.51599363
2013-08-26,17866.3622914
2013-08-27,20189.15695672
2013-08-28,16257.10996664
2013-08-29,15675.65129073
2013-08-30,19001.87082733
2013-08-31,13359.25014274
2013-09-01,8120.99833119
2013-09-02,10222.2064095
2013-09-03,18893.40761526
2013-09-04,22582.12084353
2013-09-05,17621.45141512
2013-09-06,17257.4433308
2013-09-07,12975.59352462
2013-09-08,6535.02021248
2013-09-09,10687.9405599
2013-09-10,19320.73914116
2013-09-11,20726.04427476
2013-09-12,14743.47220222
2013-09-13,14177.19919272
2013-09-14,7890.29955971
2013-09-15,8196.76896047
2013-09-16,15171.82752845
2013-09-17,16408.60986366
2013-09-18,16130.87932646
2013-09-19,13081.22472999
2013-09-20,16526.4006061
2013-09-21,8405.5476224
2013-09-22,5934.27456353
2013-09-23,14071.64560755
2013-09-24,15234.15576989
2013-09-25,20069.74193333
2013-09-26,12604.13322639
2013-09-27,23697.46357585
2013-09-28,16779.55274735
2013-09-29,11426.00236975
2013-09-30,21222.75641226
2013-10-01,25477.11079895
2013-10-02,40056.03071374
2013-10-03,24010.51176284
2013-10-04,17313.50854757
2013-10-05,11058.75143861
2013-10-06,7862.91040461
2013-10-07,14372.90592235
2013-10-08,22668.90104691
2013-10-09,21418.23869426
2013-10-10,28946.52803083
2013-10-11,18143.96249459
2013-10-12,16518.92165642
2013-10-13,17668.16403805
2013-10-14,38900.18831494
2013-10-15,26629.22099997
2013-10-16,25239.56887272
2013-10-17,24744.58175176
2013-10-18,24319.92152624
2013-10-19,29727.79644722
2013-10-20,25073.330888
2013-10-21,45240.17181563
2013-10-22,48307.6700913
2013-10-23,33806.65067195
2013-10-24,38579.81882403
2013-10-25,19368.16544502
2013-10-26,8534.68605117
2013-10-27,12448.09741755
2013-10-28,14082.72584768
2013-10-29,22010.92363696
2013-10-30,25508.93944766
