time,NVTAdj90
2013-02-03,40.43033276899112
2013-02-07,40.40769572548651
2013-02-11,40.443842560599485
2013-02-15,40.13380223587395
2013-02-19,40.051487355499994
2013-02-23,39.64745188315734
2013-02-27,39.045752320323565
2013-03-03,39.095688773455734
2013-03-07,38.64014787304763
2013-03-11,38.56248969192865
2013-03-15,38.4761020213976
2013-03-19,38.009653955011586
2013-03-23,37.81867319795449
2013-03-27,37.34014614735316
2013-03-31,37.41263720377948
2013-04-04,37.55800092376311
2013-04-08,37.480659209189774
2013-04-12,37.17136524914362
2013-04-16,36.911268707241355
2013-04-20,37.152386616547105
2013-04-24,37.05971328122214
2013-04-28,37.3926299878891
2013-05-02,37.296682382932026
2013-05-06,37.31895886802484
2013-05-10,37.509742764411364
2013-05-14,37.430352086433984
2013-05-18,37.64729638139279
2013-05-22,37.92512688264655
2013-05-26,39.305385335347424
2013-05-30,39.55881892246189
2013-06-03,39.60859847608676
2013-06-07,39.72924440410912
2013-06-11,40.07817488514789
2013-06-15,40.7280290626541
2013-06-19,41.24700757996808
2013-06-23,41.71878279869444
2013-06-27,42.10986220582255
2013-07-01,41.98325991066663
2013-07-05,41.936705512822165
2013-07-09,41.896360334367955
2013-07-13,41.981321193222136
2013-07-17,41.81928403075313
2013-07-21,42.18946113463286
2013-07-25,42.41085918504852
2013-07-29,42.64548919614891
2013-08-02,42.83134498455935
2013-08-06,42.963667142411516
2013-08-10,43.360327590094315
2013-08-14,43.768817087728934
2013-08-18,44.67195541107431
2013-08-22,45.09525106490285
2013-08-26,45.58402786077106
2013-08-30,45.942546507666
2013-09-03,46.09202836990925
2013-09-07,46.93187806836718
2013-09-11,47.53415342367
2013-09-15,48.544963283678904
2013-09-19,48.77049886597435
2013-09-23,49.11224167579493
2013-09-27,49.56115232792543
2013-10-01,49.37810408230789
2013-10-05,50.146782834370725
2013-10-09,50.229857922086225
2013-10-13,50.667629265949515
2013-10-17,51.130373008894104
2013-10-21,51.47179591126906
2013-10-25,51.57524384213376
2013-10-29,51.49841645331451
2013-11-02,52.218154296445995
2013-11-06,52.10185083574418
2013-11-10,52.24569604614104
2013-11-14,52.36118302233688
2013-11-18,52.281427834492106
2013-11-22,52.152076735066665
2013-11-26,52.19566353663421
2013-11-30,52.506906078056616
2013-12-04,52.72897788973695
2013-12-08,53.29444571662084
2013-12-12,54.02936596361027
2013-12-16,53.78500436397077
2013-12-20,53.6775685575665
2013-12-24,53.563350460802575
2013-12-28,54.7877020751046
2014-01-01,55.409311003998674
2014-01-05,55.70142175173703
2014-01-09,56.62554730029414
2014-01-13,57.50160088696072
2014-01-17,58.685204960155254
2014-01-21,59.260585840953595
2014-01-25,60.465690332485025
2014-01-29,61.89181001570789
2014-02-02,63.6046419898415
2014-02-06,63.96039470690169
2014-02-10,64.45461457068997
2014-02-14,65.15132596648368
2014-02-18,65.80868620538246
2014-02-22,66.8494188126197
2014-02-26,66.82756787973314
2014-03-02,68.31969528100308
2014-03-06,68.84362836422892
2014-03-10,68.729747682044
2014-03-14,68.97992103590344
2014-03-18,69.83748756000625
2014-03-22,71.11955461003373
2014-03-26,71.57038941180126
2014-03-30,72.37281646858568
2014-04-03,72.84356089108893
2014-04-07,74.07122439506126
2014-04-11,74.68988619331397
2014-04-15,75.05763421916835
2014-04-19,76.84488931766691
2014-04-23,76.89611531914342
2014-04-27,78.22783426328168
2014-05-01,79.38908606359709
2014-05-05,80.53992900358824
2014-05-09,81.84630693124211
2014-05-13,82.86184433204264
2014-05-17,84.66946617464679
2014-05-21,84.46812625860721
2014-05-25,84.90085069091694
2014-05-29,86.1795503278659
2014-06-02,86.92041461978283
2014-06-06,87.5160329375592
2014-06-10,87.39937446989822
2014-06-14,88.08721353322348
2014-06-18,88.71940558786804
2014-06-22,90.36761168472428
2014-06-26,91.30227148822327
2014-06-30,92.44972326136644
2014-07-04,94.08336635728743
2014-07-08,95.61573781067942
2014-07-12,97.76890303525003
2014-07-16,98.2895102075958
2014-07-20,100.95840345477642
2014-07-24,101.5187985812758
2014-07-28,102.42655860154962
2014-08-01,102.4822011587706
2014-08-05,102.49858247969453
2014-08-09,103.46164411356816
2014-08-13,103.29476691279159
2014-08-17,103.90411507392348
2014-08-21,104.10679189897245
2014-08-25,104.26313864007203
2014-08-29,104.22686114998076
2014-09-02,104.13964969766076
2014-09-06,104.74563564612895
2014-09-10,104.63203554269779
2014-09-14,105.82678527481106
2014-09-18,105.9622672353066
2014-09-22,106.61743970653693
2014-09-26,107.41517007695136
2014-09-30,107.1288771323161
2014-10-04,107.18144770650288
2014-10-08,107.10748928194646
2014-10-12,107.54917376614934
2014-10-16,108.04676500253328
2014-10-20,108.79239659314258
2014-10-24,109.20396448338052
2014-10-28,109.24855205960202
2014-11-01,109.90605981343192
2014-11-05,110.15207913957856
2014-11-09,111.05108704158556
2014-11-13,110.93396413539924
2014-11-17,111.48757987338045
2014-11-21,112.00428727540562
2014-11-25,112.05100119458189
2014-11-29,112.26189081710024
2014-12-03,112.1707750261797
2014-12-07,112.10423838630255
2014-12-11,112.65284238431946
2014-12-15,112.78428932936247
2014-12-19,113.1231323456108
2014-12-23,112.24892311330753
2014-12-27,111.97428874503112
2014-12-31,112.1394102912263
2015-01-04,111.16388336456815
2015-01-08,110.32493865415964
2015-01-12,109.55904867990238
2015-01-16,109.08987453434905
2015-01-20,108.3515203212385
2015-01-24,107.3544567710806
2015-01-28,105.94129829136068
2015-02-01,106.14433797693144
2015-02-05,105.8632839742178
2015-02-09,105.3665538180272
2015-02-13,104.99473655187084
2015-02-17,104.38495437117489
2015-02-21,104.78988191266964
2015-02-25,103.66872224201717
2015-03-01,103.70924331481375
2015-03-05,103.95573564042296
2015-03-09,103.86429653737191
2015-03-13,103.29236315487873
2015-03-17,102.43720289252384
2015-03-21,102.2558539304126
2015-03-25,101.70665874928282
2015-03-29,101.9774671866792
2015-04-02,101.28124053765681
2015-04-06,101.43639537748186
2015-04-10,100.97255001863724
2015-04-14,99.33941290763066
2015-04-18,99.34883292611796
2015-04-22,98.45219944936206
2015-04-26,97.78845070746569
2015-04-30,96.76023020710547
2015-05-04,95.76476863678752
2015-05-08,94.85248068877958
2015-05-12,93.03522839040262
2015-05-16,92.91963442493837
2015-05-20,92.69788440611723
2015-05-24,92.30040749445783
2015-05-28,91.87895039261035
2015-06-01,91.07475089967502
2015-06-05,90.87756911095558
2015-06-09,90.00183699081748
2015-06-13,89.25712429351809
2015-06-17,87.21458242464935
2015-06-21,86.96158264093917
2015-06-25,86.22479531644852
2015-06-29,84.84910220584311
2015-07-03,83.55292222024632
2015-07-07,81.54334772633916
2015-07-11,80.97488486111457
2015-07-15,78.47810486558727
2015-07-19,78.49775247492218
2015-07-23,77.75033122438731
2015-07-27,77.62635729181306
2015-07-31,77.43324716733113
2015-08-04,76.66432988955002
2015-08-08,76.23403806590657
2015-08-12,75.50718169671627
2015-08-16,75.25840854029151
2015-08-20,74.85734970085782
2015-08-24,74.62665824447524
2015-08-28,74.00224613388106
2015-09-01,72.95426999070392
2015-09-05,72.6535311151869
2015-09-09,71.41903490713389
2015-09-13,71.41868113309987
2015-09-17,70.57388058885991
2015-09-21,69.78600366076931
2015-09-25,69.37854366883741
2015-09-29,69.09244311922001
2015-10-03,69.22477476432803
2015-10-07,68.36806267387263
2015-10-11,68.2858868909594
2015-10-15,67.66530481347068
2015-10-19,67.22983163655151
2015-10-23,66.62821014443082
2015-10-27,65.75701491845952
2015-10-31,65.36000594869567
2015-11-04,64.14979282289073
2015-11-08,64.28149068228942
2015-11-12,63.81245743549115
2015-11-16,63.185510296724864
2015-11-20,62.882551601410086
2015-11-24,62.48238449685641
2015-11-28,62.245192462371634
2015-12-02,61.43224022573789
2015-12-06,60.98252921293624
2015-12-10,60.62769157083772
2015-12-14,60.20252584003193
2015-12-18,59.902686795247206
2015-12-22,59.17904107270212
2015-12-26,58.69776531405204
2015-12-30,58.901101583102246
2016-01-03,59.526564251833186
2016-01-07,59.278538755997985
2016-01-11,59.38073200562885
2016-01-15,59.08107289323715
2016-01-19,58.89017816018574
2016-01-23,58.900570106828106
2016-01-27,58.224606006354364
2016-01-31,58.22745649232751
2016-02-04,58.04728140505998
2016-02-08,57.982944803448106
2016-02-12,57.651211261569976
2016-02-16,56.87847118568812
2016-02-20,56.65067030406049
2016-02-24,55.970624269621034
2016-02-28,55.77344695877082
2016-03-03,55.54286127294744
2016-03-07,55.28569890971982
2016-03-11,54.87672851733132
2016-03-15,54.36067939988226
2016-03-19,54.494188409727535
2016-03-23,53.929655592470674
2016-03-27,53.73839103277535
2016-03-31,53.24198352662229
2016-04-04,53.14584588220727
2016-04-08,53.035246373532914
2016-04-12,52.51762232880391
2016-04-16,52.59845729157013
2016-04-20,52.274534863964114
2016-04-24,52.34128327534358
2016-04-28,52.075439233917244
2016-05-02,51.922506069188266
2016-05-06,51.71883323784918
2016-05-10,50.99710757402976
2016-05-14,50.995977857097046
2016-05-18,50.16030675323013
2016-05-22,50.23189733927421
2016-05-26,50.18212855764838
2016-05-30,49.901112584675076
2016-06-03,49.84012442477028
2016-06-07,49.551916007361314
2016-06-11,49.8180712158723
2016-06-15,49.31477782432721
2016-06-19,49.45650015657795
2016-06-23,49.26067270965024
2016-06-27,49.19191941393911
2016-07-01,49.35211818873392
2016-07-05,49.21804990493497
2016-07-09,49.24938741276506
2016-07-13,48.67165388267993
2016-07-17,48.64172370811055
2016-07-21,48.81052633935834
2016-07-25,48.98029857940843
2016-07-29,49.0566243557085
2016-08-02,48.762333655166174
2016-08-06,49.0979665161816
2016-08-10,49.04048355880962
2016-08-14,49.45166432224783
2016-08-18,49.85285876919008
2016-08-22,50.10609157483795
2016-08-26,50.42707642204423
2016-08-30,50.20151552420437
2016-09-03,50.74901226533503
2016-09-07,50.72171568764916
2016-09-11,51.19357138736879
2016-09-15,51.63223946725147
2016-09-19,51.89408656338087
2016-09-23,52.17499557464694
2016-09-27,52.012637002238435
2016-10-01,52.6158656050914
2016-10-05,52.404137470344075
2016-10-09,52.86298306207698
2016-10-13,53.084618075464064
2016-10-17,53.27092409346062
2016-10-21,53.59328841575074
2016-10-25,53.85207174153233
2016-10-29,54.45418373844008
2016-11-02,54.73696427237049
2016-11-06,55.533199837625105
2016-11-10,55.861432424261196
2016-11-14,56.206170231785464
2016-11-18,56.35952007787766
2016-11-22,56.454785228841686
2016-11-26,56.85641663101316
2016-11-30,57.19182219751344
2016-12-04,58.15841377140834
2016-12-08,58.401190738613614
2016-12-12,58.654685811366306
2016-12-16,58.924914939847504
2016-12-20,59.11645007227583
2016-12-24,59.21287343961457
2016-12-28,58.68121126311015
2017-01-01,59.27571785818906
2017-01-05,58.9977786689754
2017-01-09,59.185430923452664
2017-01-13,59.122546092644136
2017-01-17,58.99454501656897
2017-01-21,59.40578071097486
2017-01-25,59.41242556322385
2017-01-29,60.18933194502171
2017-02-02,60.45349870888454
2017-02-06,60.773734508851824
2017-02-10,60.99388077475875
2017-02-14,61.31756760491812
2017-02-18,61.94538166231615
2017-02-22,62.489752339390485
2017-02-26,63.24129427830113
2017-03-02,63.284319108387464
2017-03-06,63.57306972439989
2017-03-10,63.63582637211365
2017-03-14,63.4790097472048
2017-03-18,63.35795431086875
2017-03-22,63.26229476531578
2017-03-26,63.497245543706406
2017-03-30,63.51095595474341
2017-04-03,63.5725174894023
2017-04-07,63.62880415626313
2017-04-11,63.403447008477734
2017-04-15,63.62362990140517
2017-04-19,63.571279956906864
2017-04-23,64.16619966517011
2017-04-27,64.19490251057009
2017-05-01,64.2468581184038
2017-05-05,64.18198033217003
2017-05-09,63.83487672559815
2017-05-13,64.0981824764286
2017-05-17,63.55584017614201
2017-05-21,63.76186995797977
2017-05-25,63.6979229917214
2017-05-29,63.81231347509256
2017-06-02,63.92235121109261
2017-06-06,63.86155612603458
2017-06-10,64.0971075358429
2017-06-14,63.77373139793585
2017-06-18,64.24958935607246
2017-06-22,64.3857865762135
2017-06-26,64.4081123425983
2017-06-30,64.42100720123578
2017-07-04,64.45762420137501
