time,FeeTotUSD
2010-11-12,0.0
2010-11-13,0.0
2010-11-14,0.0
2010-11-15,0.12886298679135022
2010-11-16,0.0
2010-11-17,0.0
2010-11-18,0.0
2010-11-19,0.027829
2010-11-20,0.29433660353009955
2010-11-21,0.271215
2010-11-22,0.16529999999999997
2010-11-23,0.1499635
2010-11-24,0.0339486883693746
2010-11-25,0.0
2010-11-26,0.10522799999999999
2010-11-27,0.005659999999999999
2010-11-28,0.0
2010-11-29,0.006916783693746359
2010-11-30,0.002082
2010-12-01,0.0091
2010-12-02,0.0153
2010-12-03,0.00251060083576856
2010-12-04,0.0022359960873132635
2010-12-05,0.00811400070134424
2010-12-06,0.009218174519999999
2010-12-07,0.016840433515092713
2010-12-08,0.009552000000000001
2010-12-09,0.007454212426031156
2010-12-10,0.014280000000000001
2010-12-11,0.02673253944
2010-12-12,0.03266455692025924
2010-12-13,0.07089367795802967
2010-12-14,0.012068911079099999
2010-12-15,0.0161833248
2010-12-16,0.025888222221599998
2010-12-17,0.05688651619184929
2010-12-18,0.016035089239999998
2010-12-19,0.027766410119
2010-12-20,0.017887176390000002
2010-12-21,0.0362154003506721
2010-12-22,0.03435763
2010-12-23,0.01499820767971944
2010-12-24,0.01941673344
2010-12-25,0.016850886948
2010-12-26,0.025342353019016967
2010-12-27,0.02294237501410049
2010-12-28,0.026243340270000002
2010-12-29,0.044258187
2010-12-30,0.024181170000000002
2010-12-31,0.007005183
2011-01-01,0.026745773999999996
2011-01-02,0.0263005656804
2011-01-03,0.21483493589999997
2011-01-04,0.011263634814
2011-01-05,0.02585319026663114
2011-01-06,0.02773963098
2011-01-07,0.0139280384
2011-01-08,0.005700583157
2011-01-09,0.04845
2011-01-10,0.0192180873071
2011-01-11,0.0170248329713
2011-01-12,0.08926389395675052
2011-01-13,0.007920585111999999
2011-01-14,0.025974898990837495
2011-01-15,0.04050640382
2011-01-16,0.033371699694
2011-01-17,0.05524714259999999
2011-01-18,0.018054361794899998
2011-01-19,0.0156495
2011-01-20,0.0379730013
2011-01-21,0.0211994754816
2011-01-22,0.20647969738748012
2011-01-23,0.158847785656
2011-01-24,0.10077599999999999
2011-01-25,0.04881426789999999
2011-01-26,0.21169341617182935
2011-01-27,0.080028
2011-01-28,0.04889324488603159
2011-01-29,0.17206871912
2011-01-30,1.3460596088690573
2011-01-31,0.41017804469443464
2011-02-01,0.5447827900058444
2011-02-02,0.04220561657022498
2011-02-03,0.11103067086409638
2011-02-04,0.10023332864103802
2011-02-05,0.1625169552748754
2011-02-06,0.09081104024
2011-02-07,0.28058757400058826
2011-02-08,0.16282558655999999
2011-02-09,0.06656884842655883
2011-02-10,0.864978784293733
2011-02-11,0.5155526111815741
2011-02-12,0.8002568933898664
2011-02-13,0.2625
2011-02-14,2.921134464056118
2011-02-15,0.25563502650000003
2011-02-16,0.60869570103448
2011-02-17,0.138790156996167
2011-02-18,0.4674570756282877
2011-02-19,0.5097751831209818
2011-02-20,0.4325
2011-02-21,0.09193221712448862
2011-02-22,0.22405630231563226
2011-02-23,0.367068393
2011-02-24,0.13619319569505553
2011-02-25,0.42162852351928953
2011-02-26,0.4794749285
2011-02-27,0.9755860948626535
2011-02-28,0.5199637802041264
2011-03-01,0.3047483792124887
2011-03-02,0.43028621999999994
2011-03-03,6.588820579960078
