time,FlowInExUSD
2016-08-22,32322402.34741558
2016-08-23,35493990.53740927
2016-08-24,28745190.520651575
2016-08-25,27533509.506749853
2016-08-26,23302097.150077447
2016-08-27,16405979.53235937
2016-08-28,17654485.88768872
2016-08-29,30386924.762908716
2016-08-30,30187188.688430328
2016-08-31,41811898.15988657
2016-09-01,33639688.77092928
2016-09-02,30044766.95824495
2016-09-03,27748720.561252248
2016-09-04,29880784.94157879
2016-09-05,32323507.664795794
2016-09-06,32644902.13226689
2016-09-07,30928157.895536855
2016-09-08,35283803.742725216
2016-09-09,26663100.533131327
2016-09-10,17353946.08209125
2016-09-11,24340204.25679393
2016-09-12,21803102.462254353
2016-09-13,31574591.493243393
2016-09-14,22790275.455853064
2016-09-15,27164534.46171417
2016-09-16,24230347.54818314
2016-09-17,16608410.002728116
2016-09-18,19094090.974806078
2016-09-19,33689114.891419694
2016-09-20,29796907.222421564
2016-09-21,33729902.07245762
2016-09-22,24588965.12438548
2016-09-23,27735393.38051644
2016-09-24,14662226.1897172
2016-09-25,14849384.14995043
2016-09-26,26108050.510689653
2016-09-27,22607812.234601855
2016-09-28,33223532.45324424
2016-09-29,25150639.336810566
2016-09-30,29589056.20447764
2016-10-01,18636521.16086466
2016-10-02,12835423.364457732
2016-10-03,22636497.85458654
2016-10-04,28580796.518402703
2016-10-05,29615715.443464093
2016-10-06,25360949.535048436
2016-10-07,24142941.47463001
2016-10-08,17567283.683143876
2016-10-09,19553108.168049287
2016-10-10,25722723.273233816
2016-10-11,47250920.08123893
2016-10-12,40889141.533713475
2016-10-13,28876081.59221562
2016-10-14,30166973.312985066
2016-10-15,26553819.861309186
2016-10-16,20777540.830299273
2016-10-17,25747262.353334088
2016-10-18,34276774.153320484
2016-10-19,29445735.10530966
2016-10-20,32047463.75403479
2016-10-21,28566145.70977844
2016-10-22,24351745.415493406
2016-10-23,21282738.83161901
2016-10-24,42243240.1391336
2016-10-25,37774709.51016999
2016-10-26,35880294.06171261
2016-10-27,64116886.3961861
2016-10-28,31183150.566126123
2016-10-29,37649809.06242977
2016-10-30,24791313.31324713
2016-10-31,40477786.45611138
2016-11-01,54005858.0394094
2016-11-02,39405194.91421223
2016-11-03,54914979.62116027
2016-11-04,39890014.96894738
2016-11-05,26071254.569471065
2016-11-06,21636200.646428697
2016-11-07,37135952.46314087
2016-11-08,44612581.40716589
2016-11-09,52839596.61440335
2016-11-10,35390593.47106464
2016-11-11,27330772.39404231
2016-11-12,20798500.808457907
2016-11-13,23516629.5061332
2016-11-14,35646935.66563416
