time,CapFutExp10yrUSD
2018-03-29,144422944999.0254
2018-03-30,138810416566.60703
2018-03-31,140644423695.6219
2018-04-01,138255335912.41934
2018-04-02,142906230471.61368
2018-04-03,150784312414.27518
2018-04-04,137777954952.26086
2018-04-05,138144563676.33075
2018-04-06,134328654398.53838
2018-04-07,139940527185.28104
2018-04-08,142454249208.6988
2018-04-09,136907451756.8558
2018-04-10,138533168804.73523
2018-04-11,141139317022.98193
2018-04-12,160644002164.05426
2018-04-13,160947541047.9847
2018-04-14,162726341408.53937
2018-04-15,169556634066.41248
2018-04-16,163558432419.039
2018-04-17,160325718047.40857
2018-04-18,165921403658.44394
2018-04-19,168164606630.24115
2018-04-20,179684323923.34445
2018-04-21,180177393207.31216
2018-04-22,178909636729.84702
2018-04-23,181553055645.6284
2018-04-24,196223714996.40536
2018-04-25,180030587211.69498
2018-04-26,188353993153.42853
2018-04-27,182596461229.34933
2018-04-28,189929279914.82498
2018-04-29,191055644621.58734
2018-04-30,187638899461.82684
2018-05-01,184460239817.74408
2018-05-02,187147325975.23633
2018-05-03,198265373891.93115
2018-05-04,197170385455.47568
2018-05-05,199194119958.1001
2018-05-06,195114291393.79883
2018-05-07,189921579814.53418
2018-05-08,187340129123.98068
2018-05-09,188985311486.62936
2018-05-10,183793518461.29794
2018-05-11,171233419743.82944
2018-05-12,172580382620.27664
2018-05-13,176856478474.80542
2018-05-14,176356506617.65164
2018-05-15,172646353525.15588
2018-05-16,169382397257.24118
2018-05-17,163746795887.87692
2018-05-18,167464065908.0053
2018-05-19,167394729407.10733
2018-05-20,173133987286.633
2018-05-21,170843085669.63593
2018-05-22,162891256739.64807
2018-05-23,152995319001.4157
2018-05-24,154112609759.83398
2018-05-25,151060067592.32947
2018-05-26,149046415051.08777
2018-05-27,149290182900.95667
2018-05-28,144666256456.15182
2018-05-29,151642174971.35864
2018-05-30,150037664849.66025
2018-05-31,152157013196.74088
2018-06-01,152995029488.37598
2018-06-02,155389732129.99493
2018-06-03,156708261756.53012
2018-06-04,152325738786.41843
2018-06-05,154860866991.82477
2018-06-06,155668876918.54257
2018-06-07,155979293384.1074
2018-06-08,155099066725.38943
2018-06-09,153749073750.04788
2018-06-10,137239734194.08058
2018-06-11,139371978336.26492
2018-06-12,132806111124.30612
2018-06-13,128327137222.6912
2018-06-14,134906467836.11171
2018-06-15,130225867227.52042
2018-06-16,132173739566.51036
2018-06-17,131267318524.56122
2018-06-18,136419831352.68608
2018-06-19,137005418155.86842
2018-06-20,137428254844.32477
2018-06-21,136761873945.89523
2018-06-22,123315852989.75436
