time,UTXOCnt
2013-01-20,3434928.0
2013-01-25,3446940.0
2013-01-29,3485971.0
2013-02-02,3521822.0
2013-02-06,3556561.0
2013-02-10,3601084.0
2013-02-14,3624123.0
2013-02-18,3659162.0
2013-02-22,3688503.0
2013-02-25,3725879.0
2013-03-01,3770360.0
2013-03-05,3807518.0
2013-03-09,3820045.0
2013-03-13,3861557.0
2013-03-17,3934599.0
2013-03-20,3967190.0
2013-03-23,3999552.0
2013-03-26,4053805.0
2013-03-30,4102635.0
2013-04-03,4138821.0
2013-04-07,4249760.0
2013-04-10,4359360.0
2013-04-14,4450796.0
2013-04-18,4604891.0
2013-04-22,4735837.0
2013-04-26,4869113.0
2013-04-29,5065679.0
2013-05-04,5197860.0
2013-05-07,5387268.0
2013-05-11,5569601.0
2013-05-15,5723212.0
2013-05-19,5860883.0
2013-05-23,5995875.0
2013-05-27,6072682.0
2013-05-30,6144718.0
2013-06-03,6189134.0
2013-06-06,6254976.0
2013-06-10,6287526.0
2013-06-13,6341682.0
2013-06-16,6363415.0
2013-06-21,6394094.0
2013-06-24,6419147.0
2013-06-28,6449221.0
2013-07-02,6494554.0
2013-07-06,6528291.0
2013-07-09,6548697.0
2013-07-12,6610553.0
2013-07-16,6647827.0
2013-07-20,6682968.0
2013-07-24,6715679.0
2013-07-27,6737917.0
2013-07-31,6755338.0
2013-08-03,6800427.0
2013-08-07,6820346.0
2013-08-10,6845256.0
2013-08-13,6843394.0
2013-08-17,6845632.0
2013-08-20,6867238.0
2013-08-23,6889611.0
2013-08-27,6887012.0
2013-08-30,6907077.0
2013-09-02,6952665.0
2013-09-05,6965938.0
2013-09-09,6996863.0
2013-09-12,7022487.0
2013-09-16,7043977.0
2013-09-19,7066128.0
2013-09-22,7106338.0
2013-09-25,7145570.0
2013-09-29,7172381.0
2013-10-03,7198416.0
2013-10-06,7226493.0
2013-10-10,7260281.0
2013-10-13,7289339.0
2013-10-16,7304914.0
2013-10-19,7326888.0
2013-10-22,7345930.0
2013-10-25,7331946.0
2013-10-28,7353574.0
2013-11-01,7385083.0
2013-11-04,7393436.0
2013-11-08,7388467.0
2013-11-12,7399094.0
2013-11-15,7450458.0
2013-11-19,7484745.0
2013-11-23,7465473.0
2013-11-27,7513967.0
2013-12-01,7564252.0
2013-12-04,7621085.0
2013-12-08,7681633.0
2013-12-11,7753629.0
2013-12-15,7787496.0
2013-12-18,7827135.0
2013-12-22,7893539.0
2013-12-26,7987127.0
2013-12-29,8012754.0
2014-01-02,8108384.0
2014-01-06,8129151.0
2014-01-09,8223951.0
2014-01-13,8287661.0
2014-01-16,8393692.0
2014-01-20,8481522.0
2014-01-24,8563457.0
2014-01-28,8671935.0
2014-02-01,8779019.0
2014-02-04,8870957.0
2014-02-08,8958853.0
2014-02-12,8986154.0
2014-02-16,9036449.0
2014-02-20,9133047.0
2014-02-24,9229488.0
2014-02-28,9344874.0
2014-03-04,9419323.0
2014-03-09,9503080.0
2014-03-13,9621573.0
2014-03-17,9689804.0
2014-03-21,9782590.0
2014-03-25,9848514.0
2014-03-29,9924078.0
2014-04-02,10052965.0
2014-04-05,10095763.0
2014-04-10,10218046.0
2014-04-14,10325428.0
2014-04-18,10330911.0
2014-04-22,10450382.0
2014-04-26,10527932.0
2014-04-30,10637259.0
2014-05-05,10760591.0
2014-05-09,10834967.0
2014-05-13,10950875.0
2014-05-17,10996363.0
2014-05-21,11027942.0
2014-05-25,11088809.0
2014-05-30,11123425.0
2014-06-02,11196499.0
2014-06-06,11240117.0
2014-06-11,11334412.0
2014-06-15,11395026.0
2014-06-19,11518610.0
2014-06-22,11632567.0
2014-06-26,11694125.0
2014-06-30,11809227.0
2014-07-04,11840555.0
2014-07-09,11988794.0
2014-07-13,12094355.0
2014-07-17,12179405.0
2014-07-22,12284212.0
2014-07-26,12346131.0
2014-07-30,12461031.0
2014-08-04,12582309.0
2014-08-08,12622874.0
2014-08-12,12731162.0
2014-08-16,12685050.0
2014-08-20,12827780.0
2014-08-24,12922040.0
2014-08-28,13017033.0
2014-09-01,13167177.0
2014-09-06,13204145.0
2014-09-10,13296797.0
2014-09-14,13365317.0
2014-09-18,13465648.0
2014-09-22,13584262.0
2014-09-26,13651717.0
2014-10-01,13845889.0
2014-10-05,14012044.0
2014-10-10,14070959.0
2014-10-14,14213817.0
2014-10-18,14252806.0
2014-10-23,14368277.0
2014-10-27,14519967.0
2014-10-31,14559616.0
2014-11-04,14700454.0
2014-11-09,14704950.0
2014-11-13,14779288.0
2014-11-18,14927671.0
2014-11-22,14982010.0
2014-11-27,15120357.0
2014-12-02,15241746.0
2014-12-06,15306051.0
2014-12-11,15430348.0
2014-12-15,15592669.0
2014-12-20,15692779.0
2014-12-25,15736316.0
2014-12-29,15905112.0
2015-01-02,15955817.0
2015-01-06,16084797.0
2015-01-11,16225515.0
2015-01-15,16289298.0
2015-01-20,16494990.0
2015-01-25,16624870.0
2015-01-30,16656786.0
2015-02-03,16812036.0
2015-02-07,16877866.0
2015-02-12,17051832.0
2015-02-16,17433541.0
2015-02-20,17539590.0
2015-02-25,17665789.0
2015-03-01,17743584.0
2015-03-06,17642579.0
2015-03-10,17706866.0
2015-03-15,17693683.0
2015-03-20,17766709.0
2015-03-24,17930702.0
2015-03-28,18018291.0
2015-04-02,18139167.0
2015-04-06,18258294.0
2015-04-11,18320010.0
2015-04-16,18467824.0
2015-04-20,18651925.0
2015-04-25,18661797.0
2015-04-29,18791939.0
2015-05-04,18972886.0
2015-05-08,19114043.0
2015-05-13,19206092.0
2015-05-17,19399811.0
2015-05-22,19463982.0
2015-05-27,19671145.0
2015-05-31,19817859.0
2015-06-05,19906106.0
2015-06-09,20058592.0
2015-06-13,20141878.0
2015-06-18,20349107.0
2015-06-22,20735970.0
2015-06-27,20755915.0
2015-07-01,21183334.0
2015-07-06,21312186.0
2015-07-10,23697928.0
2015-07-14,25527271.0
2015-07-19,24568082.0
2015-07-23,24469367.0
2015-07-28,24796468.0
2015-08-01,28917151.0
2015-08-06,31670021.0
2015-08-10,33047446.0
2015-08-14,32980951.0
2015-08-19,33102187.0
2015-08-23,33257917.0
2015-08-28,33330433.0
2015-09-01,33496054.0
2015-09-05,35428930.0
2015-09-10,35049194.0
2015-09-14,34155678.0
2015-09-18,33358380.0
2015-09-23,33530112.0
2015-09-27,33589206.0
2015-10-02,33559882.0
2015-10-06,33697789.0
2015-10-11,33076971.0
2015-10-15,32727111.0
2015-10-19,32625651.0
2015-10-24,32613945.0
2015-10-28,32512524.0
2015-11-01,32552899.0
2015-11-06,32387856.0
2015-11-10,32466180.0
2015-11-14,32573329.0
2015-11-18,32638391.0
2015-11-22,32712106.0
2015-11-26,32660927.0
2015-12-01,32705554.0
