time,TxCntSec
2018-09-12,2.717326388888889
2018-09-13,2.761539351851852
2018-09-14,2.577094907407407
2018-09-15,2.4055208333333336
2018-09-16,2.1194212962962964
2018-09-17,2.7141550925925926
2018-09-18,2.8222916666666666
2018-09-19,2.9492939814814814
2018-09-20,2.965752314814815
2018-09-21,3.1452662037037036
2018-09-22,2.536550925925926
2018-09-23,2.3977546296296297
2018-09-24,2.6941087962962964
2018-09-25,2.924328703703704
2018-09-26,2.826388888888889
2018-09-27,2.9077199074074076
2018-09-28,2.881550925925926
2018-09-29,2.579247685185185
2018-09-30,2.3449768518518517
2018-10-01,2.8536689814814813
2018-10-02,2.782164351851852
2018-10-03,2.8156944444444445
2018-10-04,2.8745023148148148
2018-10-05,2.792789351851852
2018-10-06,2.442488425925926
2018-10-07,2.6378587962962965
2018-10-08,2.875046296296296
2018-10-09,2.636574074074074
2018-10-10,2.875590277777778
2018-10-11,3.0436805555555555
2018-10-12,2.7994791666666665
2018-10-13,2.355659722222222
2018-10-14,2.1906018518518517
2018-10-15,3.1830671296296296
2018-10-16,2.9346875
2018-10-17,2.961898148148148
2018-10-18,3.0319328703703703
2018-10-19,2.9134375
2018-10-20,2.6145601851851854
2018-10-21,2.370775462962963
2018-10-22,2.992071759259259
2018-10-23,3.0010185185185185
2018-10-24,2.883252314814815
2018-10-25,2.988101851851852
2018-10-26,2.9217013888888888
2018-10-27,2.711585648148148
2018-10-28,2.4942361111111113
2018-10-29,3.1052199074074074
2018-10-30,3.330601851851852
2018-10-31,3.279872685185185
2018-11-01,3.3232175925925924
2018-11-02,3.3671875
2018-11-03,2.8647222222222224
2018-11-04,2.635289351851852
2018-11-05,3.425659722222222
2018-11-06,3.3287962962962965
2018-11-07,3.4293171296296294
2018-11-08,3.2046180555555557
2018-11-09,3.275949074074074
2018-11-10,2.860821759259259
2018-11-11,2.9186574074074074
2018-11-12,3.4598263888888887
2018-11-13,3.1689930555555557
2018-11-14,3.452916666666667
2018-11-15,3.371412037037037
2018-11-16,3.2571296296296297
2018-11-17,3.0267476851851853
2018-11-18,2.754965277777778
2018-11-19,3.119710648148148
2018-11-20,3.345439814814815
2018-11-21,2.9692476851851852
2018-11-22,3.0638657407407406
2018-11-23,3.160162037037037
2018-11-24,2.916145833333333
2018-11-25,2.795162037037037
2018-11-26,2.955185185185185
2018-11-27,3.0379282407407406
2018-11-28,3.0354976851851854
2018-11-29,2.8399421296296294
2018-11-30,2.8738888888888887
2018-12-01,2.809548611111111
2018-12-02,2.5639351851851853
2018-12-03,2.7984375
2018-12-04,3.103587962962963
2018-12-05,2.9714814814814816
2018-12-06,3.2466666666666666
2018-12-07,2.964652777777778
2018-12-08,2.676724537037037
2018-12-09,2.743877314814815
2018-12-10,2.9325
2018-12-11,2.960173611111111
2018-12-12,2.99349537037037
2018-12-13,3.086828703703704
2018-12-14,3.2265509259259257
2018-12-15,3.045335648148148
2018-12-16,2.608784722222222
2018-12-17,3.429340277777778
2018-12-18,3.1204745370370373
2018-12-19,3.5065162037037036
2018-12-20,3.2734490740740743
2018-12-21,3.248599537037037
2018-12-22,2.907824074074074
2018-12-23,2.8823148148148148
2018-12-24,3.219826388888889
2018-12-25,3.0044097222222224
2018-12-26,3.2539583333333333
2018-12-27,3.4965046296296296
2018-12-28,3.6164583333333336
2018-12-29,3.0717708333333333
2018-12-30,3.0071412037037035
2018-12-31,3.0324189814814817
2019-01-01,2.7293171296296297
2019-01-02,3.1377662037037037
2019-01-03,3.322696759259259
2019-01-04,3.281134259259259
2019-01-05,3.1207986111111112
2019-01-06,2.9107060185185185
2019-01-07,3.3362731481481482
2019-01-08,3.676689814814815
2019-01-09,3.7117824074074073
2019-01-10,3.731076388888889
2019-01-11,3.572199074074074
2019-01-12,3.3445833333333335
2019-01-13,3.169722222222222
2019-01-14,3.798587962962963
2019-01-15,3.5137847222222223
2019-01-16,3.4741898148148147
2019-01-17,3.4919444444444445
2019-01-18,3.4846180555555555
2019-01-19,3.2179398148148146
2019-01-20,3.4508449074074075
2019-01-21,3.6789814814814816
2019-01-22,3.3997337962962964
2019-01-23,3.410648148148148
2019-01-24,3.529375
2019-01-25,3.485763888888889
2019-01-26,3.3734722222222224
2019-01-27,3.1240277777777776
2019-01-28,3.634259259259259
2019-01-29,3.736076388888889
2019-01-30,3.7769444444444447
2019-01-31,4.112361111111111
2019-02-01,3.892361111111111
2019-02-02,3.780486111111111
2019-02-03,3.432349537037037
2019-02-04,3.8557407407407407
2019-02-05,4.115625
2019-02-06,4.043657407407407
2019-02-07,4.035625
2019-02-08,3.9190046296296295
2019-02-09,3.609884259259259
2019-02-10,3.482037037037037
2019-02-11,3.543391203703704
2019-02-12,3.2440625
2019-02-13,4.0695601851851855
2019-02-14,4.111643518518519
2019-02-15,3.4012962962962963
2019-02-16,3.799050925925926
2019-02-17,3.856284722222222
2019-02-18,3.9418634259259258
2019-02-19,4.058483796296296
2019-02-20,3.638275462962963
2019-02-21,3.413912037037037
2019-02-22,4.033055555555555
2019-02-23,3.8453819444444446
2019-02-24,3.6953472222222223
2019-02-25,3.8977314814814816
2019-02-26,4.240497685185185
2019-02-27,4.014479166666667
2019-02-28,4.206388888888889
2019-03-01,4.153206018518518
2019-03-02,3.865289351851852
2019-03-03,4.111493055555556
2019-03-04,3.459675925925926
2019-03-05,3.321458333333333
2019-03-06,3.2052199074074075
2019-03-07,3.289363425925926
2019-03-08,3.2547337962962963
2019-03-09,2.801041666666667
2019-03-10,2.467303240740741
2019-03-11,3.416724537037037
2019-03-12,3.279525462962963
2019-03-13,3.3519791666666667
2019-03-14,3.42755787037037
2019-03-15,3.4362268518518517
2019-03-16,2.982627314814815
2019-03-17,2.6550810185185183
2019-03-18,3.422534722222222
2019-03-19,3.4721759259259257
2019-03-20,3.5857407407407407
2019-03-21,3.461921296296296
2019-03-22,3.482789351851852
2019-03-23,2.818900462962963
2019-03-24,2.6123148148148148
2019-03-25,3.8406018518518517
2019-03-26,4.21556712962963
2019-03-27,4.43099537037037
2019-03-28,4.52875
2019-03-29,4.306284722222222
2019-03-30,4.406782407407407
2019-03-31,4.408310185185186
2019-04-01,4.267291666666667
2019-04-02,4.625358796296296
2019-04-03,4.161493055555556
2019-04-04,4.109375
2019-04-05,4.504305555555556
2019-04-06,4.14994212962963
2019-04-07,4.058263888888889
2019-04-08,4.296400462962963
2019-04-09,4.014756944444445
2019-04-10,4.588043981481482
2019-04-11,4.660659722222222
2019-04-12,4.289953703703704
2019-04-13,4.3126388888888885
2019-04-14,3.9077662037037038
2019-04-15,4.37931712962963
2019-04-16,4.167326388888889
2019-04-17,4.056550925925926
2019-04-18,4.441805555555556
2019-04-19,4.180266203703703
2019-04-20,3.6674421296296296
2019-04-21,4.531168981481481
2019-04-22,3.977361111111111
2019-04-23,3.5715856481481483
2019-04-24,4.725983796296297
2019-04-25,4.417488425925926
2019-04-26,4.423206018518519
2019-04-27,4.17744212962963
2019-04-28,4.289016203703704
2019-04-29,4.346747685185186
2019-04-30,3.9744212962962964
2019-05-01,5.108009259259259
2019-05-02,5.247060185185185
2019-05-03,4.399699074074074
2019-05-04,4.1167592592592595
2019-05-05,3.8171180555555555
2019-05-06,4.392662037037037
2019-05-07,3.8325347222222224
2019-05-08,4.542025462962963
2019-05-09,4.191076388888889
2019-05-10,3.734861111111111
2019-05-11,3.967048611111111
2019-05-12,3.8869328703703703
2019-05-13,4.5772916666666665
2019-05-14,4.232627314814815
2019-05-15,4.254872685185185
2019-05-16,4.3548379629629625
2019-05-17,4.177662037037037
2019-05-18,4.1242476851851855
2019-05-19,4.041747685185185
2019-05-20,4.4234375
2019-05-21,4.417280092592593
2019-05-22,4.5631712962962965
2019-05-23,4.47005787037037
2019-05-24,4.341412037037037
2019-05-25,3.8956597222222222
2019-05-26,4.37505787037037
2019-05-27,4.597164351851852
2019-05-28,4.490729166666667
2019-05-29,4.693356481481482
2019-05-30,4.401342592592592
2019-05-31,3.439988425925926
2019-06-01,3.84875
2019-06-02,3.4337037037037037
2019-06-03,3.4543287037037036
2019-06-04,4.341481481481481
2019-06-05,4.314699074074074
2019-06-06,4.213935185185186
2019-06-07,4.058784722222223
2019-06-08,3.3475578703703706
2019-06-09,3.5167592592592594
2019-06-10,4.086585648148148
2019-06-11,3.96224537037037
2019-06-12,3.792662037037037
2019-06-13,4.21505787037037
2019-06-14,4.243414351851852
2019-06-15,3.8055324074074073
2019-06-16,3.3666087962962963
2019-06-17,3.761273148148148
2019-06-18,4.579513888888889
2019-06-19,4.554386574074074
2019-06-20,3.8814699074074075
2019-06-21,3.9367708333333336
2019-06-22,4.036284722222222
2019-06-23,4.393715277777778
2019-06-24,4.508854166666667
2019-06-25,4.197071759259259
2019-06-26,4.630902777777778
2019-06-27,4.18511574074074
2019-06-28,4.653298611111111
2019-06-29,4.157800925925926
2019-06-30,3.834907407407407
2019-07-01,3.876446759259259
2019-07-02,4.3099537037037035
2019-07-03,4.602430555555555
2019-07-04,4.24875
2019-07-05,4.4437037037037035
2019-07-06,3.9787268518518517
2019-07-07,3.6738541666666666
2019-07-08,4.4258449074074075
2019-07-09,4.175439814814815
2019-07-10,3.701724537037037
2019-07-11,3.759872685185185
2019-07-12,4.153449074074074
2019-07-13,3.5275
2019-07-14,3.5121875
2019-07-15,4.039953703703704
2019-07-16,4.212291666666666
2019-07-17,3.7719097222222224
2019-07-18,3.6580902777777777
2019-07-19,3.422488425925926
2019-07-20,3.6656597222222222
2019-07-21,3.3584027777777776
2019-07-22,3.7020370370370372
2019-07-23,3.685
2019-07-24,3.4477083333333334
2019-07-25,3.8503587962962964
2019-07-26,3.7244907407407406
2019-07-27,3.300358796296296
2019-07-28,3.126423611111111
2019-07-29,3.8962268518518517
2019-07-30,3.7646064814814815
2019-07-31,4.226782407407407
2019-08-01,3.864733796296296
2019-08-02,4.071099537037037
2019-08-03,3.7253587962962964
2019-08-04,3.4576504629629627
2019-08-05,3.927037037037037
2019-08-06,4.29443287037037
2019-08-07,4.2933564814814815
2019-08-08,3.906701388888889
2019-08-09,3.9425
2019-08-10,3.4260300925925926
2019-08-11,3.167546296296296
2019-08-12,3.5103703703703704
2019-08-13,4.308321759259259
2019-08-14,4.168287037037037
2019-08-15,4.022083333333334
2019-08-16,3.813252314814815
2019-08-17,3.3417824074074076
2019-08-18,3.1544444444444446
2019-08-19,3.863888888888889
2019-08-20,3.8180555555555555
2019-08-21,3.589236111111111
2019-08-22,3.7210763888888887
2019-08-23,3.954270833333333
2019-08-24,3.5035416666666666
2019-08-25,3.3374305555555557
2019-08-26,3.7091435185185184
