time,TxMeanByte
2018-07-21,530.5390659242541
2018-07-22,491.35840578235957
2018-07-23,643.7853887048981
2018-07-24,562.3850893359761
2018-07-25,682.6461344161653
2018-07-26,549.3055089153522
2018-07-27,645.1447403409808
2018-07-28,584.6304253126364
2018-07-29,544.339148610212
2018-07-30,528.6356766728446
2018-07-31,574.8251151343543
2018-08-01,616.3553168716084
2018-08-02,548.9717129224056
2018-08-03,602.2584279928133
2018-08-04,527.1078384822887
2018-08-05,537.1302001963046
2018-08-06,629.7529402077704
2018-08-07,658.553991718338
2018-08-08,542.351883252377
2018-08-09,539.0131923391777
2018-08-10,616.6049357058207
2018-08-11,540.1365322857233
2018-08-12,548.8956520685396
2018-08-13,611.8108122702262
2018-08-14,555.6556404519795
2018-08-15,517.5378841449041
2018-08-16,518.1079045344009
2018-08-17,541.536065938391
2018-08-18,494.3903108387673
2018-08-19,536.5567502986856
2018-08-20,570.8117386025868
2018-08-21,529.8822832530524
2018-08-22,538.2228165308487
2018-08-23,526.6937916375283
2018-08-24,544.974946326553
2018-08-25,524.7342887689648
2018-08-26,570.4671513832373
2018-08-27,580.2275727009335
2018-08-28,565.4917345477004
2018-08-29,531.2859356316419
2018-08-30,544.190940874969
2018-08-31,528.9875946953721
2018-09-01,544.4647753959806
2018-09-02,499.31139490769186
2018-09-03,546.9810181384228
2018-09-04,519.4758788452839
2018-09-05,540.0246635588719
2018-09-06,527.9973955546037
2018-09-07,586.0476580441092
2018-09-08,521.3012405345645
2018-09-09,531.4605054205127
2018-09-10,544.5521075444437
2018-09-11,558.928202516301
2018-09-12,510.58482477762266
2018-09-13,517.5226357654913
2018-09-14,625.2052945128779
2018-09-15,523.8459380966593
2018-09-16,485.76834574862227
2018-09-17,510.1821846164094
2018-09-18,544.2778239491688
2018-09-19,499.8438317857529
2018-09-20,494.7557179687316
2018-09-21,533.8179058124671
2018-09-22,503.0359674909216
2018-09-23,490.88007627833616
2018-09-24,502.5481676273823
2018-09-25,514.9226933954222
2018-09-26,511.67454607321105
2018-09-27,504.2649083583313
2018-09-28,517.9505229331456
2018-09-29,482.65184873064345
2018-09-30,490.5646702848086
2018-10-01,557.654431265958
2018-10-02,568.2416943114415
2018-10-03,501.5650528470551
2018-10-04,492.6183659117358
2018-10-05,511.58127076361023
2018-10-06,536.4493141503326
2018-10-07,537.5533174654463
2018-10-08,525.2671493825621
2018-10-09,532.6121969626306
2018-10-10,527.2305007246525
2018-10-11,557.7772100873635
