time,CapMrktCurUSD
2019-06-28,219806390394.21695
2019-06-29,212471408601.20145
2019-06-30,192893862979.7983
2019-07-01,188054836533.4531
2019-07-02,191572815076.09036
2019-07-03,212701280671.49295
2019-07-04,198932256881.84424
2019-07-05,195779255924.42004
2019-07-06,199539253818.18237
2019-07-07,203975542702.9202
2019-07-08,219376353956.16104
2019-07-09,224021230975.77808
2019-07-10,215629126479.1789
2019-07-11,201183259641.46625
2019-07-12,210445706655.52036
2019-07-13,202155589033.93988
2019-07-14,183222223011.25137
2019-07-15,194704461534.6134
2019-07-16,168791758444.18518
2019-07-17,172438862979.07385
2019-07-18,190367634570.60635
2019-07-19,187750651266.9553
2019-07-20,193665325162.4292
2019-07-21,188818886061.12653
2019-07-22,184004626629.3892
2019-07-23,175963591454.6841
2019-07-24,174663348864.6462
2019-07-25,176543962471.5269
2019-07-26,175485365597.111
2019-07-27,168545324729.98972
2019-07-28,170049120676.19733
2019-07-29,169611741059.69104
2019-07-30,171144789262.24023
2019-07-31,179552893039.96872
2019-08-01,185663600899.71167
2019-08-02,187995636118.57104
2019-08-03,193031076581.09784
2019-08-04,196198228092.13153
2019-08-05,210568558007.91815
2019-08-06,204045416188.37363
2019-08-07,213781188501.16107
2019-08-08,213283632611.2499
2019-08-09,211878077389.7985
2019-08-10,201989948339.88336
2019-08-11,206058769073.2262
2019-08-12,203477450140.01297
2019-08-13,194247026152.71277
2019-08-14,179203376208.94943
2019-08-15,184331110834.93024
2019-08-16,185480750975.0089
2019-08-17,182525936050.27747
2019-08-18,184762356323.27872
2019-08-19,194679955535.78104
2019-08-20,192675218123.9638
2019-08-21,180626030877.0156
2019-08-22,181053252826.25583
2019-08-23,186340852608.8203
2019-08-24,181582680924.55023
2019-08-25,180766007715.36856
2019-08-26,185477896690.726
2019-08-27,182015155352.97937
2019-08-28,174096090423.8244
2019-08-29,169774555309.59164
2019-08-30,171501195666.0512
2019-08-31,172010786445.15015
2019-09-01,174856193400.15393
2019-09-02,185879583769.6674
2019-09-03,190226097714.498
2019-09-04,189499919032.44812
2019-09-05,189574477943.65216
2019-09-06,185127327372.9537
2019-09-07,188079718442.25552
2019-09-08,186539229374.468
2019-09-09,185217353459.46936
2019-09-10,180821372958.31525
2019-09-11,181852186603.98663
2019-09-12,186556352212.0695
2019-09-13,185535294724.80197
