time,CapRealUSD
2013-05-30,552344660.78652
2013-05-31,554628306.258158
2013-06-01,556342263.133554
2013-06-02,557679309.4762583
2013-06-03,559240401.277412
2013-06-04,560703063.0604053
2013-06-05,562778028.6035264
2013-06-06,566386343.1552005
2013-06-07,566059483.2663752
2013-06-08,566262967.5338277
2013-06-09,565984485.847951
2013-06-10,566099107.8037515
2013-06-11,567607139.1492132
2013-06-12,567829228.9562554
2013-06-13,567125422.8107927
2013-06-14,567046608.5134495
2013-06-15,567427334.6244808
2013-06-16,567781875.9757475
2013-06-17,567951724.7117932
2013-06-18,568449874.9921117
2013-06-19,568947224.7003783
2013-06-20,569256961.48942
2013-06-21,569167319.6885854
2013-06-22,569526854.5790344
2013-06-23,569771861.6972234
2013-06-24,570185737.1764495
2013-06-25,570300238.8814662
2013-06-26,570907610.9482799
2013-06-27,570793622.3067409
2013-06-28,569590057.2484124
2013-06-29,569989195.9000369
2013-06-30,569801550.4238299
2013-07-01,569770757.1360664
2013-07-02,570915619.1061159
2013-07-03,569053844.346237
2013-07-04,568499442.2187002
2013-07-05,563565546.8677927
2013-07-06,559869475.9195749
2013-07-07,560351048.3471446
2013-07-08,560671239.8078748
2013-07-09,560567037.9753424
2013-07-10,564273010.9669166
2013-07-11,565240560.60019
2013-07-12,567226520.6491387
2013-07-13,569305641.788288
2013-07-14,569702169.5658454
2013-07-15,570744447.5478283
2013-07-16,570584846.3339641
2013-07-17,570372435.6283829
2013-07-18,568912727.542506
2013-07-19,568614901.5990456
2013-07-20,568422240.1201895
2013-07-21,568654650.9363912
2013-07-22,568677074.6008517
2013-07-23,569093224.7474989
2013-07-24,569695525.8986785
2013-07-25,570490042.0710038
2013-07-26,571061046.3067483
2013-07-27,571507335.4593769
2013-07-28,572487152.9673538
2013-07-29,572754938.8834736
2013-07-30,574171477.2076021
2013-07-31,575981436.5626246
2013-08-01,576677929.3007607
2013-08-02,578819699.9990014
2013-08-03,583061649.3472458
2013-08-04,583820868.2505037
2013-08-05,585319339.8962748
2013-08-06,585892986.2944161
2013-08-07,586570431.1050249
2013-08-08,586979509.8398066
2013-08-09,587353981.4918678
2013-08-10,587961111.9189082
2013-08-11,588617673.6082824
2013-08-12,589287859.6992941
2013-08-13,592731840.4048474
2013-08-14,593840775.4436307
2013-08-15,595235910.9723183
2013-08-16,596054666.4534266
2013-08-17,597189025.823849
2013-08-18,597861234.0212407
2013-08-19,599422557.98967
2013-08-20,600912613.2353127
2013-08-21,603238449.5138053
2013-08-22,604524756.8745164
2013-08-23,606042378.6645602
2013-08-24,606952363.9883446
2013-08-25,608359025.0329139
2013-08-26,609735554.7380977
2013-08-27,612149484.6420006
2013-08-28,614420162.5249788
2013-08-29,616881437.4185047
2013-08-30,620025231.7161136
2013-08-31,623338339.9183614
2013-09-01,626553549.1602657
2013-09-02,629290265.9529126
2013-09-03,633850177.2545437
2013-09-04,634232563.4480841
2013-09-05,635464111.7675818
2013-09-06,636100502.5726668
2013-09-07,637280738.072874
2013-09-08,637952592.7717534
2013-09-09,640609947.4462543
2013-09-10,642213094.1861508
2013-09-11,644896446.6082243
2013-09-12,648847694.9582396
2013-09-13,650278857.9354926
2013-09-14,653077885.4320138
2013-09-15,654177062.4941363
2013-09-16,656045551.0337989
2013-09-17,657253965.2351165
2013-09-18,659013503.0907842
2013-09-19,663412351.832939
2013-09-20,664245088.4036665
2013-09-21,665177250.4792151
2013-09-22,666955222.4281613
2013-09-23,667862027.9609923
2013-09-24,669585312.1121695
2013-09-25,671019463.381634
2013-09-26,672288757.4630013
2013-09-27,673681326.4685996
2013-09-28,674690510.2021377
2013-09-29,675876005.1149546
2013-09-30,677391962.8269682
2013-10-01,679140381.86291
2013-10-02,675244864.4727628
2013-10-03,677952694.2524605
2013-10-04,679408339.3170817
2013-10-05,680563193.6394031
2013-10-06,681868623.6658002
2013-10-07,688087153.5090148
2013-10-08,689408900.6104498
2013-10-09,691255437.5575305
2013-10-10,692564781.47093
2013-10-11,694070243.1795388
2013-10-12,695747260.9187268
2013-10-13,697636454.1141243
2013-10-14,700615889.6052716
2013-10-15,704852010.4254832
2013-10-16,709511641.447293
2013-10-17,713242158.0603641
2013-10-18,717098645.7595274
2013-10-19,724094123.8794475
2013-10-20,728081509.1813599
2013-10-21,744309039.7872722
2013-10-22,760309975.0587229
2013-10-23,778154009.129327
2013-10-24,785095642.7553672
2013-10-25,812309236.7934918
2013-10-26,814000178.3632095
2013-10-27,818694157.6894604
2013-10-28,822532741.5402784
2013-10-29,834406675.3710982
2013-10-30,838267195.3538218
2013-10-31,843772381.2139188
2013-11-01,849416544.8790808
2013-11-02,852786277.3053626
2013-11-03,857929983.2092761
